utterance,loglikelihood
words-BABEL-BP-101-11694-20111204-202159-S6-scripted,-38.45420930232558
words-BABEL-BP-101-13781-20111125-142918-SA-scripted,-39.34392233009709
words-BABEL-BP-101-49306-20111130-171409-O6-scripted,-26.03734
words-BABEL-BP-101-90577-20111014-142354-C2-scripted,-42.0285303030303
words-BABEL-BP-101-90393-20111103-164322-D2-scripted,-35.2949880952381
words-BABEL-BP-101-19147-20111021-172027-C5-scripted,-33.12830136986301
words-BABEL-BP-101-51569-20111019-194611-S0-scripted,-42.580222222222226
words-BABEL-BP-101-48559-20111118-123938-I1-scripted,-27.062756756756755
words-BABEL-BP-101-16266-20111027-144357-S1-scripted,-43.368182539682536
words-BABEL-BP-101-45642-20111027-164920-O2-scripted,-28.93609756097561
words-BABEL-BP-101-28260-20111021-175840-D1-scripted,-43.844342857142856
words-BABEL-BP-101-85948-20111020-165219-O6-scripted,-30.499147058823528
words-BABEL-BP-101-83791-20111017-203049-L2-scripted,-40.08002857142857
words-BABEL-BP-101-15873-20111026-125943-O7-scripted,-39.64907407407408
words-BABEL-BP-101-32295-20111111-142401-S1-scripted,-45.9335873015873
words-BABEL-BP-101-88929-20111118-195953-T2-scripted,-30.150464285714285
words-BABEL-BP-101-22979-20111129-141216-N1-scripted,-44.84641666666667
words-BABEL-BP-101-69137-20111121-154359-C6-scripted,-32.6365
words-BABEL-BP-101-49864-20111023-190515-S0-scripted,-40.97567708333333
words-BABEL-BP-101-69049-20111101-220949-N1-scripted,-46.66182142857143
words-BABEL-BP-101-99856-20111125-181848-S0-scripted,-60.11810317460318
words-BABEL-BP-101-37203-20111103-174424-T1-scripted,-49.19649315068493
words-BABEL-BP-101-24642-20111129-125711-S3-scripted,-45.001428571428576
words-BABEL-BP-101-49452-20111027-165242-A1-scripted,-37.54892307692308
words-BABEL-BP-101-55369-20111022-144252-SB-scripted,-42.597361904761904
words-BABEL-BP-101-53544-20111205-184434-C1-scripted,-28.135408450704226
words-BABEL-BP-101-97650-20111126-141255-O1-scripted,-34.448697674418604
words-BABEL-BP-101-10925-20111025-150439-S8-scripted,-43.112859813084114
words-BABEL-BP-101-74395-20111117-132627-S3-scripted,-38.9863
words-BABEL-BP-101-41456-20111117-160719-C3-scripted,-32.836247706422014
words-BABEL-BP-101-48188-20111117-203931-I1-scripted,-20.41528085106383
words-BABEL-BP-101-66903-20111021-124107-S2-scripted,-39.41518085106383
words-BABEL-BP-101-45511-20111025-195541-T1-scripted,-36.208479452054796
words-BABEL-BP-101-48053-20111020-124524-I2-scripted,-28.222434615384618
words-BABEL-BP-101-32274-20111024-155205-SC-scripted,-40.08962626262626
words-BABEL-BP-101-17572-20111116-153714-SC-scripted,-41.90680158730159
words-BABEL-BP-101-47661-20111028-180204-I2-scripted,-23.110645833333333
words-BABEL-BP-101-67555-20111023-133358-O6-scripted,-41.53457692307692
words-BABEL-BP-101-35006-20111120-172204-O1-scripted,-30.688811594202896
words-BABEL-BP-101-68129-20111120-131604-L3-scripted,-33.69922368421053
words-BABEL-BP-101-14666-20111122-122518-S7-scripted,-39.01157936507936
words-BABEL-BP-101-80953-20111122-194645-N1-scripted,-34.36391044776119
words-BABEL-BP-101-32452-20111022-133155-O6-scripted,-29.171450980392155
words-BABEL-BP-101-47661-20111028-180524-C3-scripted,-33.167591836734694
words-BABEL-BP-101-37766-20111130-005043-S5-scripted,-39.107460317460315
words-BABEL-BP-101-12003-20111116-130347-S8-scripted,-37.05386842105263
words-BABEL-BP-101-95533-20111129-181522-SC-scripted,-35.814195652173915
words-BABEL-BP-101-20320-20111027-203809-S2-scripted,-31.908126984126984
words-BABEL-BP-101-64889-20111124-214907-L3-scripted,-35.946172043010755
