utterance,loglikelihood
words-BABEL-BP-101-32295-20111111-144923-outLine-62-59-67-02,-43.00818181818182
words-BABEL-BP-101-32295-20111111-144923-outLine-73-37-81-04,-50.108000000000004
words-BABEL-BP-101-32295-20111111-144923-outLine-94-12-98-15,-44.8272
words-BABEL-BP-101-32295-20111111-144923-outLine-106-45-110-62,-56.025195121951214
words-BABEL-BP-101-32295-20111111-144923-outLine-110-62-114-49,-46.317684210526316
words-BABEL-BP-101-32295-20111111-144923-outLine-124-98-128-5,-43.771885714285716
words-BABEL-BP-101-32295-20111111-144923-outLine-140-54-148-44,-56.27955696202532
words-BABEL-BP-101-32295-20111111-144923-outLine-148-44-151-73,-55.92309375
words-BABEL-BP-101-32295-20111111-144923-outLine-151-73-159-44,-51.85111688311689
words-BABEL-BP-101-32295-20111111-144923-outLine-159-44-164-81,-52.288943396226415
words-BABEL-BP-101-32295-20111111-144923-outLine-164-81-168-21,-55.767941176470586
words-BABEL-BP-101-32295-20111111-144923-outLine-168-21-172-98,-51.19889361702128
words-BABEL-BP-101-32295-20111111-144923-outLine-172-98-180-94,-53.29558227848101
words-BABEL-BP-101-32295-20111111-144923-outLine-180-94-184-01,-42.3349
words-BABEL-BP-101-32295-20111111-144923-outLine-184-01-192-19,-52.6618024691358
words-BABEL-BP-101-32295-20111111-144923-outLine-192-19-195-59,-53.34214705882353
words-BABEL-BP-101-32295-20111111-144923-outLine-203-63-208-15,-53.00282222222222
words-BABEL-BP-101-32295-20111111-144923-outLine-208-15-216-86,-53.80634482758621
words-BABEL-BP-101-32295-20111111-144923-outLine-216-86-220-77,-47.80851282051282
words-BABEL-BP-101-32295-20111111-144923-outLine-220-77-228-12,-56.090479452054794
words-BABEL-BP-101-32295-20111111-144923-outLine-234-62-237-88,-53.40928125
words-BABEL-BP-101-32295-20111111-144923-outLine-237-88-241-82,-50.72287179487179
words-BABEL-BP-101-32295-20111111-144923-outLine-241-82-250-54,-55.06298850574712
words-BABEL-BP-101-32295-20111111-144923-outLine-250-54-257-01,-59.81834375
words-BABEL-BP-101-32295-20111111-144923-outLine-270-58-277-73,-57.26594366197183
words-BABEL-BP-101-32295-20111111-144923-outLine-277-73-280-94,-56.0254375
words-BABEL-BP-101-32295-20111111-144923-outLine-280-94-284-5,-46.39425714285714
words-BABEL-BP-101-32295-20111111-144923-outLine-284-5-287-56,-57.9403
words-BABEL-BP-101-32295-20111111-144923-outLine-287-56-290-56,-46.8358
words-BABEL-BP-101-32295-20111111-144923-outLine-290-56-298-74,-54.93914814814815
words-BABEL-BP-101-32295-20111111-144923-outLine-318-57-325-58,-56.66917142857143
words-BABEL-BP-101-32295-20111111-144923-outLine-325-58-332-85,-53.071958333333335
